,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
686,PB2 (June-December 2015),P076,"Parks, Recreation & Education",Create a much-needed park on part of the DPW land,"This part of Area 3 lacks parks (children have to cross very busy streets to get to one).  And DPW land is very messily kept and under-used, lots of rubble piles. A portion of this land could be restored to be a  playground or some green open space - and it would still allow plenty of space for the DPW.",Not feasible due to the proposed location.,Sadie,"Norfolk Street
(42.3720149999999, -71.097126)",42.3720149999999,-71.097126,"park,part,land,DPW"
687,PB2 (June-December 2015),P077,"Parks, Recreation & Education","Consider open space - pocket parks, community gardens wherever there is space",needed,Budget Delegates did not rank this as a high priority project due to the project's cost and the need for a broader community process needed to implement pocket parks.,Martha Older,"Massachusetts Avenue
(42.385254, -71.1191939999999)",42.385253999999996,-71.11919399999991,"parks,community gardens,space"
688,PB2 (June-December 2015),P078,"Parks, Recreation & Education",Restore summer shaded seating at Vellucci Park,"The summer shaded seating at the Vellucci Memorial Tribute Park in Inman Square has been blocked for 4 years now by the bike rental station. In the hot summer, only seating under the sun is open. Poor placement by people who do not live near this park. Easy and cost-free to fix. Either pushout the bike rental station 2 feet away from the shaded seating (give a 2 foot space between the seating and bike station), or move the bike rental station to the hot sun-drenched side of the park (relocated the bikes from the shaded Hampshire St side to the sun drenched Cambridge St side).",Budget Delegates did not rank this as a high priority project.,Larry,"Vellucci Plaza
(42.373911, -71.1014559999999)",42.373911,-71.1014559999999,"seating,Vellucci Park"
689,PB2 (June-December 2015),P113,"Parks, Recreation & Education",I would like to have affordable or free after hours school programs,that way moms can go work or go to school,Not eligible: hiring staff for these programs is an operating expense.,Tirsit Habtemariam,,,,school programs
690,PB2 (June-December 2015),P079,"Parks, Recreation & Education",A dog park in East Cambridge,"We have many dogs, but no fenced recreation place in which to train an exercise them.  It would be a huge benefit to dog owners and non-dog owners alike.","Budget Delegates ranked this as a high priority project, but it did not make the final cut for the ballot.  City staff stated that a location-specific community process would be required for any dog park.",Shannon Larkin,,,,"dog park,East Cambridge"
691,PB2 (June-December 2015),P080,"Parks, Recreation & Education",Fenced area for dog recreation on Lee Street between West St. and Broadway,There are  no fenced dog parks in mid-Cambridge.  My service dog needs a chance to run with other dogs off leash.  I can't let him loose without a fence.,Budget Delegates did not rank this as a high priority project.,Kenneth Bowles,"West Street
(42.370232, -71.1050709999999)",42.370232,-71.10507099999991,"area,dog recreation,Lee Street,West St.,Broadway"
692,PB2 (June-December 2015),P081,"Parks, Recreation & Education",Fenced dog park for East Cambridge,"E. Cambridge has a large dog population but no designated/protected off-leash dog park (save for 3 hours shared use in AM at Gore Park). A small, fenced-in dog run at this currently empty space would provide a safe space for neighborhood dogs to play, which would reduce amount of dogs at playgrounds, school fields, etc.","Budget Delegates ranked this as a high priority project, but it did not make the final cut for the ballot.  City staff stated that a location-specific community process would be required for any dog park.",E Campbell,"Galileo Galilei Way &amp; Binney St.
(42.366508, -71.088153)",42.366508,-71.088153,"dog park,East Cambridge"
693,PB2 (June-December 2015),P082,"Parks, Recreation & Education",Fenced dog park for East Cambridge,"E. Cambridge has a large dog population but no designated/protected off-leash dog park (save for 3 hours shared use in AM at Gore Park). A small, fenced-in dog run at one end of this large park would provide a safe space for neighborhood dogs to play, which would reduce amount of dogs at playgrounds, school fields, etc.","Budget Delegates ranked this as a high priority project, but it did not make the final cut for the ballot.  City staff stated that a location-specific community process would be required for any dog park.",E Campbell,"Rogers St. &amp; Third St.
(42.366396, -71.0821239999999)",42.366396,-71.08212399999991,"dog park,East Cambridge"
694,PB2 (June-December 2015),S029,"Streets, Sidewalks & Transit",Cycle tracks,Bike safety. I'm an EMT and think this is a good way to prevent bike accidents.,Budget Delegates did not rank this as a high priority project because there was not enough information on locations desrired for the proposal.,ECP,,,,Cycle tracks
695,PB2 (June-December 2015),P083,"Parks, Recreation & Education",Redesign Danehy Dog Park,This dog park is problematic because all the owner seating is in one area which causes all the dogs to crowd around one area. This can cause problems.  Also it would be nice to have synthetic turf made especially for dogs (it exists). I think it needs to be enlarged (there is space). Also it would be fun to have a pool or fountain that dogs can play in on those hot days. ,Budget Delegates did not rank this as a high priority project.,Alexandra Smith,,,,Danehy Dog Park
696,PB2 (June-December 2015),P084,"Parks, Recreation & Education",To complete the fencing around Raymond Park,"Raymond Park has an off leash dog area from 6-9 on most days, which is terrific.  However, the park is only fenced about 90% of the way around and is surrounded by busy roads.  It would be fantastic if the fence around the park could be completed so that the dogs could use the park without any safety concerns.  We don't use the park because of this safety issue.  I can't imagine it wouldn't cost very much.","Budget Delegates did not rank this as a high priority project, since the park is not meant to be a full-time dog park, which is why the fencing is not closed. ",mark whittenberger,,,,"fencing,Raymond Park"
697,PB2 (June-December 2015),P085,"Parks, Recreation & Education",Make the Linear Park a real park,It's called a park but is just a bike path. Separate dog walkers from bicyclists. Replace the ugly chain link fences. Add benches. Install a small gravel area at both entrances for dogs to use before entering the rest of the park so subsequent peeing won't ruin the grass and bushes. ,Budget Delegates did not rank this as a high priority project.,Carol Agate,"Alewife Linear Park
(42.3955119999999, -71.1377959999999)",42.3955119999999,-71.13779599999991,"Linear Park,park"
698,PB2 (June-December 2015),P086,"Parks, Recreation & Education",Completely fenced-in dog parks that allow off-leash dogs,"There are many dogs in Cambridge, but only 2 fenced-in dog parks where  dogs can legally run off-leash.  There are some more parks that allow dogs off-leash (like Fort Washington Park, but they are not completely enclosed.  Dogs still learning to come when they're called cannot be let off-leash here because there is too much of a risk that they'll leave the park into the street.",Budget Delegates did not rank this as a high priority project. City staff stated that a location-specific community process would be required for any dog park.,Teresa C.,,,,"dog parks,dogs"
699,PB2 (June-December 2015),P087,"Parks, Recreation & Education",A Dog Park at Joan Lorentz Park ,"Many residents (including me) enjoy taking their dog for a walk through this beautiful park. It would benefit the community if there was a designated fenced in area for dogs to play and run around freely, because a lot of apartment buildings in this area do not have backyards. ","The park is already a shared park, to further change this park would require a broader community process outside of PB.",Jess D. ,,,,"Dog Park,Joan Lorentz Park"
700,PB2 (June-December 2015),P088,"Parks, Recreation & Education",Cambridge Community Boat House,We should have a community boat house and boat dock.,Location is State-owned property and thus not feasible.,SK,"Magazine Beach
(42.3606619999999, -71.1093709999999)",42.3606619999999,-71.10937099999991,"Cambridge,Community Boat House"
701,PB2 (June-December 2015),P089,"Parks, Recreation & Education",Boat Dock,We should have a boat loading dock.,Location is State-owned property and thus not feasible.,SK,"Magazine Beach
(42.3606619999999, -71.1093709999999)",42.3606619999999,-71.10937099999991,Boat Dock
